HR8799,a (AU),e,i (rad),argp (rad),lan (rad),tau(MJD),m_pl(Mj),mstar(Ms),dist(pc)
b,63.374280411491092,0.07857935514881581,0.54646028331075069,2.6383492632024428,1.1499937508783795,-31826.479339720492,4.5,1.51,36.4
c,42.988432763148225,0.13990992080780862,0.60798687707115739,5.5137876535563128,4.4010882431794744,32122.460689621075,7.0,1.51,36.4
d,34.458225569578104,0.21646169957234276,0.73194945849420456,2.9863963498880328,1.023049492669406,-1236.7625181907715,7.0,1.51,36.4
e,21.384819040049955,0.25223038085927335,0.72585561101156659,3.1691591073649965,2.140216386051184,29523.561240535833,7.0,1.51,36.4
