Author,Instrument,Band,Separation,Sep. Err.,PA,PA Error,Epoch,MJD,MJD-50k,MJD-50k,x (mas),x err (mas),y (mas),y err (mas),Notes
,,,0.2704,0.0026,69.96,0.55,,57299.0749,7299.0749,7299.0749,254.028258,2.59949,92.6596145,2.596164417,
,,,0.2688,0.0104,61.6,1.9,,57609.2416,7609.2416,7609.2416,236.4495364,10.08297424,127.8477874,9.270840867,
,,,0.2625,0.0014,61.69,0.34,,57653.0937,7653.0937,7653.0937,231.1035815,1.436978392,124.488492,1.523660788,
,,,0.2623,0.0014,61.04,0.32,,57682.0328,7682.0328,7682.0328,229.5014716,1.41549723,127.0053721,1.449991072,
