value,a,tau,argp,lan,inc,ecc
5%,134.71484329761591,440421.98964408401,7.7655799995943395,103.13280880433312,73.156472294527632,0.78558585029483341
16%,149.7892782530426,510666.11556142766,20.376564757846175,141.03828203261179,69.174981333413626,0.82723718092790255
50%,194.59504588903232,739477.42512559949,61.726458172867858,155.80084536611673,56.20197540369643,0.90463961394409775
84%,314.18835217355689,1486810.3107829052,216.97536018461355,331.58898852239059,29.300842623429531,0.95316521672244303
95%,462.19428500035684,2631202.3085448598,250.70562435770913,341.38415910064913,15.263155713734484,0.96567736098307977
mean,231.6700777234762,1023010.5823868654,114.1605999746736,212.37876217893395,51.299275201097522,0.8931304448731674
std,110.41671071120437,812109.54183108883,95.462658573808696,95.414403546660495,18.300850335750422,0.058372490521994981
rms,256.63763347701632,1306167.1254508814,148.81452136319552,232.8275048803757,54.465922916714511,0.89503594297049249
