value,a,tau,argp,lan,inc,ecc
5%,108.08294776779773,322526.10711467627,4.8588202808093124,125.92836531562166,74.03170024362818,0.6695049665308761
16%,120.47189726081879,373508.22502910352,13.774019963151332,138.81805010659906,70.210427266051354,0.73072759505446427
50%,159.25924126312458,549426.74015546427,37.770270964976476,150.41761789955103,58.667634810658861,0.84462815189036011
84%,256.85419079171612,1098187.5659005945,72.369047761507559,160.2049120953599,36.172103111809534,0.92358080482711979
95%,381.65273843624021,1975290.2540402832,349.02591623428015,172.75911331800725,21.49128205928826,0.94523437067029792
mean,190.1517615503858,766934.64898428845,68.422559801363107,150.06919732455634,54.360570178685727,0.82994491219125133
std,94.366119112641982,632428.63777628518,97.279500633462192,13.64205299387878,16.481320573061527,0.088981967123935371
rms,212.27966661245694,994059.72541504051,118.93253521752126,150.68798756212939,56.804097721765167,0.8347013524281568
