value,a,tau,argp,lan,inc,ecc
5%,134.78887009867765,440677.30265050835,4.9489613570827746,127.46077128287584,73.13402519097977,0.7856141920430959
16%,149.74064722129458,510399.97011810006,13.166547194178422,138.98025290798503,68.97575321436193,0.82723631709047707
50%,195.02131865993604,741394.24438317842,33.42520473061851,149.50433601638227,57.21799147091189,0.90038117994178224
84%,311.4828909155392,1466686.4538680103,58.660418140486449,158.38217031943836,33.697964278327049,0.94927366368876431
95%,453.5263774588135,2558953.9870308447,346.24515348516587,169.30615083142129,19.263583823732247,0.96205002824634311
mean,229.81854572284936,1004892.9407825158,59.409225104689682,149.18678607614945,52.740939907470327,0.89026194903374711
std,103.87813463606187,736924.1985583459,90.464928598813088,12.512993388981007,16.884625859467889,0.056947874092651347
rms,252.20473987146431,1246140.8816243028,108.22827418899396,149.71062802380993,55.377769300844932,0.89208149754439114
