value,a,tau,argp,lan,inc,ecc
5%,107.73436861334054,321191.3982995855,8.6299301370403789,81.387227823370466,73.946711894909868,0.6734155827599051
16%,119.15822200464049,368538.31184816861,22.999363072227371,139.06286412024269,69.395163354199056,0.74071917864288228
50%,153.55389023160885,522776.21937329986,82.792353724333793,157.9532570820927,54.956906452790037,0.86529870317673208
84%,246.91407033423673,1036860.3660905448,231.18197198532499,331.48547032506258,28.308478335541377,0.93502726613531406
95%,395.28342668894607,2081750.9712379102,339.66743706382908,342.72278702687771,15.103140281452564,0.95322480342967419
mean,187.25894461334715,758842.95981828787,127.20248159783131,208.19462630875677,50.611711619390995,0.84424216582780787
std,100.74533699441461,705009.25375185488,103.50388009766328,94.999434239938822,18.629183426063364,0.090858763641493673
rms,212.63944898306846,1035799.5392649715,163.99245263096114,228.84469609268118,53.931362194610884,0.84911727664209269
