pix   img                fit
1100  1.84461623753e-09  5.38906820373e-09
1101  2.66648103597e-09  5.51398032212e-09
1102  3.00660252250e-09  5.74752396942e-09
1103  2.55228194135e-09  5.66684332170e-09
1104  1.92050730874e-09  5.44375749430e-09
1105  1.52905277329e-09  5.38521573739e-09
1106  1.52138290854e-09  5.38765775328e-09
1107  2.05650252383e-09  5.39909485034e-09
1108  2.94114443911e-09  5.46501172746e-09
1109  3.52702334006e-09  5.42920487184e-09
1110  3.41013550731e-09  5.40509552781e-09
1111  2.83876011586e-09  5.71634250918e-09
1112  2.52573939541e-09  6.01479206365e-09
1113  2.75012324025e-09  5.78461243971e-09
1114  3.30983240815e-09  5.42320709980e-09
1115  3.90729182342e-09  5.43330704653e-09
1116  4.26080903893e-09  5.51246574778e-09
1117  4.18579348960e-09  5.42450480571e-09
1118  3.80547326984e-09  5.38552614731e-09
1119  3.66447516775e-09  5.38597201375e-09
1120  4.01069355505e-09  5.45295452802e-09
1121  4.39750769132e-09  5.81579536916e-09
1122  4.53803572498e-09  6.05643491589e-09
1123  4.81654893747e-09  5.68674846983e-09
1124  5.25322363387e-09  5.38673054922e-09
1125  5.40877520550e-09  5.74413466831e-09
1126  5.04478947505e-09  6.00599471856e-09
1127  4.21889057023e-09  5.69331673066e-09
1128  3.21152748839e-09  5.41233905384e-09
1129  2.78972378531e-09  5.38530005711e-09
1130  3.00316149726e-09  5.40979225659e-09
1131  3.18755644102e-09  5.64070764965e-09
1132  2.95628987956e-09  5.79172415134e-09
1133  2.75716960374e-09  5.47148478847e-09
1134  2.63886335006e-09  5.55846029858e-09
1135  2.51300358300e-09  6.52470395645e-09
1136  2.49885645509e-09  6.89699030849e-09
1137  2.93857804756e-09  6.03785332775e-09
1138  3.74105413314e-09  5.40082371168e-09
1139  4.32538049822e-09  5.49055958341e-09
1140  4.44493641893e-09  5.46263602893e-09
1141  4.38512026690e-09  5.39255371841e-09
1142  4.17524326224e-09  5.47268237834e-09
1143  3.89318133287e-09  5.38542149424e-09
1144  3.70991704024e-09  6.00588528726e-09
1145  3.66630659165e-09  7.59245108705e-09
1146  3.30332006193e-09  7.77435979869e-09
1147  2.55352761158e-09  6.03806115176e-09
1148  2.39963493520e-09  5.48205886037e-09
1149  3.35699423815e-09  6.62206176810e-09
1150  4.10800682360e-09  6.69414394281e-09
1151  3.97151200815e-09  5.71070001663e-09
1152  4.01052879795e-09  5.38679034622e-09
1153  4.42140457579e-09  5.41048548664e-09
1154  4.44330217064e-09  6.25432471401e-09
1155  4.45339365385e-09  8.28946559570e-09
1156  5.21500265194e-09  8.06391180627e-09
1157  6.98309765568e-09  5.55385530642e-09
1158  1.01514956441e-08  7.39247810045e-09
1159  1.33297213267e-08  1.28959250098e-08
1160  1.29760184819e-08  1.27663770305e-08
1161  9.09058428533e-09  7.49557846408e-09
1162  5.75527181468e-09  5.38503379328e-09
1163  4.42027969783e-09  5.61710706898e-09
1164  4.43628245250e-09  5.51948142555e-09
1165  1.06350199758e-08  7.89721110913e-09
1166  2.96110709286e-08  7.74796921555e-09
1167  4.73609738094e-08  6.02676865328e-09
1168  4.35120099951e-08  2.81562991329e-08
1169  4.45089511913e-08  7.05301291559e-08
1170  6.83774317167e-08  7.03718058050e-08
1171  6.32651904198e-08  1.83118733412e-08
1172  4.93887135633e-08  2.04553547783e-08
1173  1.18512026859e-07  1.22470992071e-07
1174  1.86937597846e-07  1.87279729578e-07
1175  1.14880570834e-07  1.09077989018e-07
1176  2.09532871054e-08  1.09242017661e-08
1177  6.44602593525e-08  4.33690733291e-08
1178  1.38758906587e-07  1.33147170179e-07
1179  1.12790623064e-07  1.26931707716e-07
1180  6.23547364853e-08  4.46676674306e-08
1181  6.22221492108e-08  5.39766623145e-09
1182  5.91130877581e-08  2.31239275375e-08
1183  2.98821980493e-08  3.20200496186e-08
1184  1.71959086970e-08  1.71624304672e-08
1185  2.24983196517e-08  6.52852618500e-09
1186  1.91726936549e-08  5.39775373209e-09
1187  9.91637705283e-09  5.49075996721e-09
1188  5.73594993725e-09  7.46762153252e-09
1189  5.04640151888e-09  8.88998227342e-09
1190  4.38315517215e-09  6.25943732843e-09
1191  4.00019395386e-09  6.18495552819e-09
1192  4.93689400471e-09  1.13494731776e-08
1193  6.50736220464e-09  1.30059296186e-08
1194  6.75928557570e-09  8.62817943089e-09
1195  5.60267121585e-09  5.51491398199e-09
1196  4.84653384092e-09  5.72560872244e-09
1197  5.00705965578e-09  5.74546373392e-09
1198  5.06217068263e-09  5.38666472571e-09
1199  4.58818316673e-09  5.49950512134e-09
1200  4.09293932080e-09  5.38600301883e-09
1201  3.88275589458e-09  6.05881619278e-09
1202  3.62747343274e-09  7.88326273766e-09
1203  3.17188320054e-09  8.05485458602e-09
1204  2.72793232448e-09  6.16093685712e-09
1205  2.46122788816e-09  5.42639751335e-09
1206  2.38885999870e-09  6.28801990344e-09
1207  2.40999287193e-09  6.38417585273e-09
1208  2.73293632169e-09  5.66996300085e-09
1209  3.47295481262e-09  5.39101027191e-09
