pix   img                fit
1210  4.00930666444e-09  5.38771453233e-09
1211  3.73849662338e-09  5.58404169981e-09
1212  3.19825144146e-09  6.11169252337e-09
1213  2.96024427193e-09  6.06733171312e-09
1214  2.88686075045e-09  5.44988220316e-09
1215  2.91854584944e-09  5.68222666888e-09
1216  3.28417915085e-09  6.54537036475e-09
1217  3.66508112748e-09  6.47464073058e-09
1218  3.51056539394e-09  5.69694831006e-09
1219  2.95728086463e-09  5.38585023186e-09
1220  2.73839129150e-09  5.41435897481e-09
1221  3.03707103910e-09  5.38494840171e-09
1222  3.51301254753e-09  5.46016912254e-09
1223  3.94966326311e-09  5.46758971222e-09
1224  4.19100931737e-09  5.39173911110e-09
1225  4.02042354963e-09  5.77455806590e-09
1226  3.64732999358e-09  6.30274295433e-09
1227  3.65259733570e-09  6.08598115251e-09
1228  4.21757606617e-09  5.50007215970e-09
1229  4.72965799858e-09  5.42548763126e-09
1230  4.64974991843e-09  5.59297341151e-09
1231  4.14674738991e-09  5.50556163201e-09
1232  3.60098550978e-09  5.39201190651e-09
1233  3.27276383771e-09  5.38582733696e-09
1234  3.18120929599e-09  5.40647340385e-09
1235  3.38414229972e-09  5.61411227890e-09
1236  3.53724516344e-09  5.83491404103e-09
1237  3.35511818328e-09  5.64818624898e-09
1238  2.84686763052e-09  5.38802801247e-09
1239  2.18670614949e-09  5.56684504543e-09
1240  1.68876568285e-09  5.80054288027e-09
1241  1.63709423795e-09  5.64881638966e-09
1242  1.91233096025e-09  5.42582140134e-09
1243  2.12030393243e-09  5.38521002550e-09
1244  2.04973082951e-09  5.38509772151e-09
1245  1.80217951673e-09  5.42872339120e-09
1246  1.60169488783e-09  5.49856496540e-09
1247  1.65206792690e-09  5.42837842108e-09
1248  1.76461822932e-09  5.40868707957e-09
1249  1.76660486240e-09  5.66452848346e-09
1250  1.80454073906e-09  5.82977679911e-09
